cluster_id,start_date,end_date,length,max_cat
3,2015-08-23,2015-08-25,3,preemergencia
9,2016-04-09,2016-04-12,4,preemergencia
11,2016-04-24,2016-05-07,3,emergencia
13,2016-05-12,2016-05-13,2,preemergencia
15,2016-05-17,2016-05-27,2,preemergencia
25,2016-06-22,2016-06-23,2,emergencia
29,2016-06-30,2016-07-03,3,preemergencia
31,2016-07-17,2016-07-20,3,preemergencia
33,2016-07-24,2016-07-25,2,emergencia
35,2016-07-29,2016-08-03,3,emergencia
41,2016-08-24,2016-08-25,2,preemergencia
45,2017-04-12,2017-04-17,5,emergencia
47,2017-05-05,2017-05-06,2,preemergencia
49,2017-05-09,2017-05-12,3,emergencia
55,2017-05-30,2017-05-31,2,emergencia
61,2017-06-29,2017-07-05,5,emergencia
63,2017-07-07,2017-07-08,2,preemergencia
67,2017-07-21,2017-07-22,2,preemergencia
69,2017-08-04,2017-08-05,2,preemergencia
71,2017-08-08,2017-08-10,3,emergencia
79,2018-05-05,2018-05-07,3,emergencia
83,2018-06-01,2018-06-05,3,emergencia
89,2018-07-05,2018-07-10,3,emergencia
93,2018-07-25,2018-07-27,2,preemergencia
97,2018-08-08,2018-08-12,5,emergencia
105,2019-05-28,2019-05-29,2,preemergencia
109,2019-06-03,2019-06-04,2,preemergencia
113,2019-06-27,2019-06-28,2,preemergencia
115,2019-07-03,2019-07-04,2,emergencia
117,2019-07-06,2019-07-13,3,emergencia
129,2020-05-19,2020-05-21,3,preemergencia
131,2020-06-14,2020-06-17,3,emergencia
135,2020-07-02,2020-07-05,4,preemergencia
149,2021-05-16,2021-05-21,4,preemergencia
151,2021-06-20,2021-06-23,4,emergencia
155,2022-05-15,2022-05-20,2,emergencia
157,2022-05-29,2022-06-03,3,emergencia
159,2022-06-13,2022-06-14,2,emergencia
169,2023-04-10,2023-04-11,2,preemergencia
175,2023-05-22,2023-05-23,2,preemergencia
177,2023-06-18,2023-06-21,2,emergencia
179,2023-06-24,2023-06-25,2,preemergencia
181,2023-06-27,2023-07-01,5,emergencia
187,2023-07-19,2023-07-20,2,emergencia
189,2023-07-24,2023-07-28,3,preemergencia
197,2024-04-11,2024-04-13,3,emergencia
199,2024-05-12,2024-05-18,4,emergencia
201,2024-05-23,2024-05-28,3,preemergencia
203,2024-05-30,2024-05-31,2,preemergencia
205,2024-06-05,2024-06-12,4,preemergencia
207,2024-07-08,2024-07-09,2,preemergencia
215,2025-04-04,2025-04-05,2,preemergencia
217,2025-06-06,2025-06-08,2,emergencia
225,2025-08-13,2025-08-14,2,emergencia
